,Date,Price,Open,High,Low,Volume,ChangePercentFromLastMonth
360,12/24/2022,16837.2,16778.6,16855.8,16777.8,110.12K,0.35
361,12/23/2022,16779.1,16820.5,16910.7,16768.0,184.12K,-0.25
362,12/22/2022,16820.6,16831.8,16862.2,16566.1,198.28K,-0.07
363,12/21/2022,16831.8,16902.7,16919.4,16735.0,174.34K,-0.42
364,12/20/2022,16902.8,16441.3,17031.3,16400.7,284.57K,2.81
365,12/19/2022,16441.3,16741.1,16809.5,16331.2,207.93K,-1.79
366,12/18/2022,16741.1,16777.0,16825.7,16666.5,124.29K,-0.21
367,12/17/2022,16777.1,16629.0,16794.4,16587.0,164.49K,0.89
368,12/16/2022,16629.6,17356.7,17518.5,16542.4,303.56K,-4.19
369,12/15/2022,17356.1,17796.4,17846.1,17298.2,263.44K,-2.47
370,12/14/2022,17796.4,17778.6,18351.8,17682.1,318.98K,0.1
371,12/13/2022,17778.6,17210.9,17951.6,17094.5,328.71K,3.3
372,12/12/2022,17210.4,17093.2,17232.5,16878.5,249.39K,0.68
373,12/11/2022,17093.3,17127.0,17262.9,17080.6,167.20K,-0.2
374,12/10/2022,17127.2,17125.7,17220.5,17105.7,148.81K,0.01
375,12/09/2022,17125.7,17225.6,17288.6,17082.1,260.84K,-0.58
376,12/08/2022,17225.7,16835.2,17294.2,16765.8,261.64K,2.32
377,12/07/2022,16835.2,17089.4,17126.7,16715.3,244.36K,-1.49
378,12/06/2022,17089.3,16966.3,17101.1,16914.9,246.19K,0.72
379,12/05/2022,16966.5,17106.9,17395.2,16886.9,268.72K,-0.85
380,12/04/2022,17112.6,16884.8,17198.1,16881.6,197.12K,1.35
381,12/03/2022,16884.5,17093.4,17132.6,16862.1,169.29K,-1.22
382,12/02/2022,17093.6,16972.2,17096.2,16799.9,227.01K,0.72
383,12/01/2022,16972.0,17163.4,17244.7,16868.9,266.14K,-1.12
384,11/30/2022,17163.9,16440.8,17215.5,16433.2,348.22K,4.4
385,11/29/2022,16440.4,16211.9,16531.4,16100.1,271.58K,1.41
386,11/28/2022,16211.7,16426.1,16481.4,16013.5,284.84K,-1.3
387,11/27/2022,16425.6,16456.4,16595.4,16414.6,173.25K,-0.19
388,11/26/2022,16456.5,16512.3,16686.3,16387.9,194.94K,-0.34
389,11/25/2022,16512.3,16600.6,16611.8,16360.9,204.07K,-0.54
390,11/24/2022,16601.2,16604.9,16785.6,16472.0,229.59K,-0.14
391,11/23/2022,16623.9,16216.9,16677.6,16162.3,305.08K,2.53
392,11/22/2022,16212.9,15776.6,16274.6,15620.4,287.21K,2.77
393,11/21/2022,15776.2,16278.6,16287.9,15504.2,372.15K,-3.13
394,11/20/2022,16286.7,16699.3,16749.3,16209.2,172.83K,-2.47
395,11/19/2022,16699.2,16652.2,16814.9,16608.9,114.89K,0.37
396,11/18/2022,16638.3,16715.4,16846.3,16553.0,241.96K,-0.32
397,11/17/2022,16691.2,16540.5,16739.7,16425.8,257.00K,0.91
398,11/16/2022,16540.5,16895.4,16993.4,16408.2,295.73K,-2.1
399,11/15/2022,16895.1,16615.0,17112.0,16543.9,337.15K,1.69
400,11/14/2022,16613.7,16325.0,17158.4,15834.0,442.46K,1.77
401,11/13/2022,16324.5,16803.9,16946.5,16274.9,210.80K,-2.8
402,11/12/2022,16795.2,17049.9,17100.8,16633.9,192.91K,-1.49
403,11/11/2022,17049.9,17589.1,17679.4,16435.5,466.35K,-3.07
404,11/10/2022,17589.1,15887.0,18138.2,15799.3,720.74K,10.71
405,11/09/2022,15886.9,18538.9,18583.8,15603.3,869.57K,-14.25
406,11/08/2022,18527.4,20589.0,20667.5,17260.0,865.10K,-10.01
407,11/07/2022,20589.0,20916.3,21055.4,20410.5,414.24K,-1.56
408,11/06/2022,20916.3,21298.7,21360.4,20901.0,242.26K,-1.81
409,11/05/2022,21301.6,21145.7,21464.7,21084.1,261.23K,0.74
410,11/04/2022,21145.9,20206.4,21281.9,20184.6,499.50K,4.65
411,11/03/2022,20206.4,20154.0,20384.5,20066.6,347.23K,0.26
412,11/02/2022,20154.4,20482.9,20778.3,20065.8,420.23K,-1.61
413,11/01/2022,20483.5,20496.1,20676.6,20348.1,302.72K,-0.06
414,10/31/2022,20496.3,20626.0,20822.4,20260.0,327.47K,-0.63
415,10/30/2022,20626.3,20809.4,20922.3,20522.5,207.63K,-0.88
416,10/29/2022,20809.8,20594.2,21038.1,20561.9,276.54K,1.05
417,10/28/2022,20594.4,20293.0,20744.0,20058.2,318.90K,1.49
418,10/27/2022,20292.9,20769.5,20867.9,20231.6,365.49K,-2.29
419,10/26/2022,20769.5,20086.8,20981.5,20062.9,427.99K,3.42
420,10/25/2022,20082.7,19331.8,20406.9,19249.0,371.54K,3.89
421,10/24/2022,19331.5,19571.2,19588.6,19177.2,286.94K,-1.22
